Parit,Teur_parit,Quantity,price_parit,Size,Shelf_Number,Teur_order,CategoryID,Related,ExpDate,incomeQuantity,DateStartStatistic
000000000002024873,בקר השקייה + ברז גלקון D-7001 4/3,4,269.76,יח,19,בקר השקייה + ברז גלקון D-7001 4/3,23,,,1,9/19/2019
000000000002024874,מחשב השקייה 4CA גלקון+ שנאי,2,523.95,יח,19,מחשב השקייה 4CA גלקון+ שנאי,31,,,1,9/19/2019
000000000002024875,מיכל פלסטי 5 ליטר עם ברז,0,72.54,יח,25,מיכל פלסטי 5 ליטר עם ברז,24,,,1,9/19/2019
000000000002024876,שקית ניילון   1.20x0.80,246,2.46,יח,10,שקית ניילון   1.20x0.80,1,,,1731,9/19/2019
000000000002024877,מגבת נייר איירפלקס-לשימוש המחסן בלבד,0,15.01,יח,25,מגבת נייר איירפלקס-לשימוש המחסן בלבד,21,,,0,9/19/2019
000000000002024878,מקל אלומיניום לאביזרי גינה (וולף),5,66.38,יח,21,מקל אלומיניום לאביזרי גינה (וולף),31,,,22,9/19/2019
000000000002024880,קנקן פלסטיק 0.5-1 ליטר,7,12.98,יח,7,קנקן פלסטיק 0.5-1 ליטר,24,,,17,9/19/2019
000000000002024881,כד מדידה פלסטיק 2-5 ליטר,17,42.13,יח,7,כד מדידה פלסטיק 2-5 ליטר,24,,,10,9/19/2019
000000000002024882,קיסמי שיניים - עטוף1/1000,81,8.19,יח,1,קיסמי שיניים - עטוף1/1000,1,,,12,9/19/2019
000000000002024883,תויות פלסטיק לסימון D,1305,2.08,יח,11,תויות פלסטיק לסימון D,1,,,1958,9/19/2019
000000000002024885,"מפתח צינורות ""10",4,66.03,יח,25,"מפתח צינורות ""10",30,,,5,9/19/2019
000000000002024886,אקדח התזה,9,25.2,יח,10,אקדח התזה,23,,,40,9/19/2019
000000000002024887,"דבק מגע 1 ק""ג",0,32.76,יח,1,"דבק מגע 1 ק""ג",19,,,1,9/19/2019
000000000002024888,טי דורה 1,37,13.39,יח,20,"טי דורה 1""",23,,,5,9/19/2019
000000000002024889,רקורד פלסטיק,35,4.84,יח,20,רקורד פלסטיק,1,,,46,9/19/2019
000000000002024891,מצע שתילה/תערובת גן/שק אדמה,37,32.9,יח,25,מצע שתילה/תערובת גן/שק אדמה,1,,,4,9/19/2019
000000000002024901,צינור גמיש לברז ניל/ניאגרה,4,12.78,יח,21,צינור גמיש לברז ניל/ניאגרה,1,,,19,9/19/2019
000000000002024902,ידית לברז,0,24.57,יח,19,ידית לברז,1,,,1,9/19/2019
000000000002024904,מכסה לגביע פלסטיק 250/500/  1קג,5976,0.21,יח,16,מכסה לגביע פלסטיק 250/500/  1קג,1,,,,
000000000002024905,ממסר ליתרת זר,7,152.44,יח,17,ממסר ליתרת זר,22,,,7,9/19/2019
000000000002024906,שלות,672,0.48,יח,18,שלות,1,,,230,9/19/2019
000000000002024907,"מא""מת חד פאזי",81,21.61,יח,17,"מא""מת חד פאזי",22,,,84,9/19/2019
000000000002024908,"מא""מת תלת פאזי",37,108.69,יח,17,"מא""מת תלת פאזי",22,,,29,9/19/2019
000000000002024909,מופה PVC,140,2.48,יח,19,מופה PVC,23,,,199,9/19/2019
000000000002024910,מופה מתכת,33,3.6,יח,21,מופה מתכת,23,,,68,9/19/2019
000000000002024911,צינורית 5 ממ (מחיר למטר),420,0.63,יח,20,"צינורית 5 מ""מ (מחיר למטר)",1,,,2030,9/19/2019
000000000002024912,שולה מגנטים,6,27.68,יח,11,שולה מגנטים,1,,,12,9/19/2019
000000000002024913,"תויות פלסטיק לסימון A , B",4405,0.83,יח,11,"תויות פלסטיק לסימון A , B",1,,,824,9/19/2019
000000000002024914,מיכל פלסטי 25 ליטר עם ברז,0,76.05,יח,25,מיכל פלסטי 25 ליטר עם ברז,24,,,1,9/19/2019
000000000002024915,צינור טפטוף,1285,1.23,יח,25,צינור טפטוף,1,,,1200,9/19/2019
000000000002024916,מחבר פלסטיק 16/16 16 3/4 פ 16 3/4 ח,185,4.73,יח,20,מחבר פלסטיק 16/16 16 3/4 פ 16 3/4 ח,23,,,625,9/19/2019
000000000002024917,מחבר 40-40,1,48.66,יח,20,מחבר 40-40,23,,,5,9/19/2019
000000000002024918,מחבר שן,333,0.64,יח,21,מחבר שן,23,,,1169,9/19/2019
000000000002024919,זוית שן,815,0.75,יח,21,זוית שן,23,,,359,9/19/2019
000000000002024920,מחבר  פלסאון תיקון  50X50,0,73,יח,20,מחבר  פלסאון תיקון  50X50,23,,,1,9/19/2019
000000000002024921,טי אס פי 1/2,21,17.14,יח,19,טי אס פי 1/2,23,,,29,9/19/2019
000000000002024922,סופית לצינור השקייה 16/20,267,0.66,יח,21,סופית לצינור השקייה 16/20,1,,,876,9/19/2019
000000000002024923,ברז חשמלי DC,24,97.79,יח,19,ברז חשמלי DC,23,,,9,9/19/2019
000000000002024924,טפטפת 1ליטר-8 ליטר,4159,0.83,יח,20,טפטפת 1ליטר-8 ליטר,23,,,1524,9/19/2019
000000000002024925,תויות קרטון/פלסטיק,0,3.92,יח,11,תויות קרטון/פלסטיק,1,,,146,9/19/2019
000000000002024926,תויות פלסטיק לסימון H,27,50.54,יח,11,תויות פלסטיק לסימון H,1,,,0,9/19/2019
000000000002024927,תויות פלסטיק לסימון C,2740,0.59,יח,11,תויות פלסטיק לסימון C,1,,,3963,9/19/2019
000000000002024928,תויות שילוט למפתח,390,0.47,יח,19,תויות שילוט למפתח,1,,,24,9/19/2019
000000000002024930,מקטפה לירקות,0,54.71,יח,25,מקטפה לירקות,31,,,37,9/19/2019
000000000002024931,פילטר סביבון 0.22/0.45,19,3.55,יח,6,פילטר סביבון 0.22/0.45,1,,,789,9/19/2019
000000000002024932,משאבת אויר,0,71.96,יח,1,משאבת אויר,1,,,8,9/19/2019
000000000002024933,מנקב חורים לטפטפת,0,6.69,יח,20,מנקב חורים לטפטפת,23,,,14,9/19/2019
000000000002024936,"דורסבן גרגרי 5 ק""ג",0,274.95,יח,23,"דורסבן גרגרי 5 ק""ג",29,,,6,9/19/2019
000000000002024937,דזיקטול נוזלי,0,80,יח,23,דזיקטול נוזלי,29,,,0,9/19/2019
000000000002024938,חומר הדברה בסטון 5 ל,0,188.56,יח,25,חומר הדברה בסטון 5 ל,1,,,,
000000000002024939,חומר הדברה דוקטלון 1 ליטר,0,95,יח,23,חומר הדברה דוקטלון 1 ליטר,29,,,0,9/19/2019
000000000002024940,ורמקוליט,1,93.05,יח,25,ורמקוליט,28,,,6,9/19/2019
000000000002024941,טומהוק,0,105.3,יח,23,טומהוק,29,,,1,9/19/2019
000000000002024942,אביזרים לצינורית טפטוף,7310,0.34,יח,20,אביזרים לצינורית טפטוף,23,,,11734,9/19/2019
000000000002024943,טיפים 0-10 UL,61,35.19,חב,6,טיפים 0-10 UL,24,,,1,9/19/2019
000000000002024944,סקווסטרן,5,62.4,יח,23,סקווסטרן,1,,,0,9/19/2019
000000000002024945,חומר הדברה קודקוד 1 ליטר,0,73.29,יח,23,חומר הדברה קודקוד 1 ליטר,29,,,0,9/19/2019
000000000002024947,גופרת אמון,0,74.26,יח,25,גופרת אמון,28,,,3,9/19/2019
000000000002024948,דשן נוזלי,55,30.5,יח,23,דשן נוזלי,28,,,42,9/19/2019
000000000002024960,מתזים לדשא - מרחקים שונים,22,9.82,יח,20,מתזים לדשא - מרחקים שונים,1,,,26,9/19/2019
000000000002025083,SODIUM CITRATE,0,177.3,יח,3,SODIUM CITRATE,26,,,4,9/19/2019
000000000002025154,"TRIZMA(R) BASE, PRIMARY STANDARD   T150",0,198.9,יח,3,"TRIZMA(R) BASE, PRIMARY STANDARD   T150",26,,,0,9/19/2019
000000000002025310,"POTASSIUM CHLORIDE, ACS REAGENT  P3911",0,61.36,יח,3,"POTASSIUM CHLORIDE, ACS REAGENT  P3911",26,,,1,9/19/2019
000000000002025400,MURASHIGE AND SKOOG M02222-050,4,210.7,יח,3,MURASHIGE AND SKOOG M02222-050,26,,,,
000000000002025530,D-(+)-GLUCOSE,2,174.64,יח,3,D-(+)-GLUCOSE,26,,,,
000000000002025531,GLYCEROL  G7757,14,64.06,יח,24,GLYCEROL  G7757,26,,,16,9/19/2019
000000000002025708,CALCIUM CHLORIDE DIHYDRATE,0,232.81,יח,3,CALCIUM CHLORIDE DIHYDRATE,26,,,0,9/19/2019
000000000002025728,CITRIC ACID  C0759,0,0,יח,0,CITRIC ACID  C0759,26,,,0,9/19/2019
000000000002025804,AMMONIUM SULFATE,5,127.09,יח,3,AMMONIUM SULFATE,26,,,3,9/19/2019
000000000002025836,AMMONIUM CHLORIDE,1,309.13,יח,3,AMMONIUM CHLORIDE,26,,,1,9/19/2019
000000000002025881,Ammonium Acetate powder,0,325.72,יח,3,Ammonium Acetate powder,26,,,2,9/19/2019
000000000002026118,"POTASSIUM HYDROXIDE, PELLETS   221473",0,115.86,יח,3,"POTASSIUM HYDROXIDE, PELLETS   221473",26,,,6,9/19/2019
000000000002026262,מאוורר עמוד 16,6,174.79,יח,21,מאוורר עמוד 16,1,,,5,9/19/2019
000000000002026271,מגרפת דשא,11,90.15,יח,10,מגרפת דשא,30,,,6,9/19/2019
000000000002026277,מספרי גדר חי,3,51.75,יח,10,מספרי גדר חי,30,,,1,9/19/2019
000000000002026278,מזמרת ענפים,3,119.84,יח,10,מזמרת ענפים,31,,,5,9/19/2019
000000000002026295,טינר 21,13,23.91,יח,24,טינר 21,1,,,21,9/19/2019
000000000002026309,תעלה 60*25 חצויה תוצרת פלגל לבן,2,44.45,יח,18,תעלה 60*25 חצויה תוצרת פלגל לבן,1,,,7,9/19/2019
